OTU ID,L918B1,L918B2,L918B3,L918F1,L918F2,L918F3,L918H1,L918H2,L918H3,L918S1,L918S2,L918S3,L918T1,L918T2,L918T3,L919B1,L919B2,L919B3,L919F1,L919F2,L919F3,L919H1,L919H2,L919H3,L919S1,L919S2,L919S3,L919T1,L919T2,L919T3,L920B1,L920B2,L920B3,L920F1,L920F2,L920F3,L920H1,L920H2,L920H3,L920S1,L920S2,L920S3,L920T1,L920T2,L920T3
OTU68,35,16,52,105,49,66,44,51,105,2,1,2,25,41,33,49,45,85,107,78,85,118,86,77,17,37,51,59,45,50,3,3,1,81,83,66,0,1,1,34,34,28,47,63,101
OTU69,27,23,32,71,47,61,53,34,63,1,3,2,30,27,28,30,18,56,59,67,74,64,48,94,21,24,42,74,32,29,3,2,2,107,59,102,1,1,2,48,39,38,68,71,82
OTU70,23,32,23,63,74,51,26,18,21,2,3,1,28,40,9,16,20,37,53,51,29,33,34,26,17,36,8,52,46,64,3,4,1,37,34,23,0,0,0,12,16,6,46,47,14
OTU71,45,32,31,18,15,27,63,92,163,4,0,2,25,23,36,38,22,36,23,26,45,130,126,105,23,25,38,76,34,42,4,2,4,73,51,62,0,0,0,47,26,35,43,42,58
OTU72,60,41,46,36,37,37,52,62,84,1,1,3,30,62,33,54,53,82,52,35,48,80,60,70,48,40,55,89,61,54,4,2,2,46,28,29,0,0,1,22,12,15,42,26,38
OTU73,41,44,63,61,47,43,31,41,90,0,1,2,26,47,35,41,36,89,40,31,69,62,46,60,37,31,40,69,56,51,2,4,1,68,34,37,0,0,0,36,17,32,39,53,43
OTU74,30,18,36,55,22,35,62,31,43,2,1,1,30,25,21,20,16,38,79,38,69,80,50,74,39,27,35,98,48,41,1,2,3,115,86,114,0,0,3,36,38,27,103,52,63
OTU75,50,31,55,85,29,33,41,29,50,6,4,2,44,50,51,44,28,76,28,41,51,60,35,38,34,35,51,89,58,52,4,1,1,64,31,56,1,1,1,28,18,27,56,50,83
OTU76,51,49,59,43,24,34,124,71,86,1,1,1,25,43,23,30,29,69,25,183,68,73,72,74,20,25,25,39,72,21,1,4,2,60,41,71,1,2,3,46,41,29,41,39,68
OTU77,34,56,12,28,54,41,40,79,19,0,1,1,20,45,9,18,29,72,50,59,29,48,56,46,46,27,28,21,29,40,0,2,0,18,33,31,0,0,1,3,11,12,25,10,6
OTU78,45,34,30,25,24,37,95,55,90,1,4,2,30,46,8,30,23,106,49,39,23,96,91,86,24,27,22,37,31,36,5,3,1,33,56,50,2,0,0,41,27,38,54,64,35
OTU79,39,55,11,30,72,58,33,30,6,2,0,1,21,41,1,6,23,44,76,58,25,15,31,37,20,38,11,27,54,61,2,1,0,19,72,50,0,0,0,10,42,20,63,60,14
OTU80,40,63,31,19,15,30,73,61,39,0,1,0,23,28,6,20,19,80,32,37,19,48,39,87,28,24,23,37,32,36,2,2,1,30,34,54,0,2,2,26,24,63,33,52,24
OTU81,21,19,24,93,48,52,29,36,64,0,2,1,10,27,34,24,10,34,63,58,88,36,31,38,16,23,37,80,42,45,4,3,5,70,67,64,0,0,0,28,27,25,71,61,72
OTU82,1,6,1,3,1,1,1,2,2,0,0,0,2,6,3,1,10,4,10,2,824,13,6,25,6,8,6,2,11,4,1,0,0,69,6,535,0,0,0,9,15,14,7,6,5
OTU83,20,17,24,77,50,62,37,25,27,5,1,2,33,41,28,28,14,43,52,74,72,39,21,27,27,38,35,89,35,56,2,1,1,78,43,45,0,0,0,30,32,20,79,50,64
OTU84,41,106,22,20,52,26,27,43,6,0,0,0,5,42,3,20,38,112,54,66,24,21,41,37,39,65,12,35,13,46,1,0,0,39,45,82,1,0,0,10,27,21,44,29,3
OTU85,100,43,12,26,29,16,51,29,6,0,2,1,26,19,2,41,49,89,36,23,4,29,72,37,105,50,6,24,42,38,2,1,0,28,56,34,0,0,0,55,69,32,41,35,2
OTU86,25,27,19,28,44,40,14,23,17,3,5,1,14,27,10,11,15,32,39,47,21,25,31,33,8,20,7,34,33,29,5,3,2,26,49,32,1,0,0,10,32,15,39,31,17
OTU87,16,20,13,31,43,32,31,38,22,1,1,2,13,38,12,15,11,30,44,42,42,59,58,53,27,36,27,51,70,26,0,0,2,73,136,99,2,0,2,22,28,30,49,53,38
OTU88,45,42,28,26,43,37,42,49,16,0,0,0,10,14,4,18,26,94,74,76,34,32,28,32,50,30,19,35,17,25,0,0,0,11,27,47,1,0,0,6,7,11,14,9,7
OTU89,47,39,58,38,28,36,39,77,96,6,2,2,41,46,41,42,24,68,42,45,40,70,38,36,20,35,31,49,25,51,8,5,3,59,41,35,0,0,1,28,23,21,30,38,45
OTU90,57,38,48,74,40,46,40,32,36,1,1,3,32,32,32,33,24,59,81,45,32,53,31,41,29,36,44,66,36,38,6,2,0,49,34,52,1,0,1,25,20,18,73,22,53
OTU91,15,9,28,31,12,5,84,123,162,1,1,0,7,12,31,15,9,32,14,12,92,117,92,61,14,17,31,53,31,12,2,4,5,45,26,16,0,1,4,25,24,18,31,23,36
OTU92,30,32,7,25,16,38,28,40,13,0,0,0,13,24,7,12,27,44,65,60,27,20,31,47,27,36,16,27,36,17,0,0,0,43,60,79,0,1,0,13,9,20,29,21,9
OTU93,17,23,14,42,41,36,25,44,8,2,1,1,14,40,5,14,10,37,52,59,21,28,31,26,19,23,13,36,27,36,3,1,1,17,38,21,0,0,0,8,15,11,30,42,11
OTU94,35,22,44,94,43,56,38,14,29,2,2,1,36,24,31,24,10,32,59,65,64,28,24,30,19,30,30,57,20,28,1,1,0,44,13,18,0,0,0,17,21,25,68,61,72
OTU95,13,17,6,49,56,75,13,34,11,1,1,0,21,33,12,13,11,29,51,46,29,28,35,30,21,20,8,23,36,44,0,0,0,20,34,22,0,0,0,14,24,8,27,27,10
OTU96,19,16,7,40,38,49,36,40,16,1,2,1,17,15,7,11,12,41,39,51,22,32,36,36,28,23,7,26,20,27,3,2,0,11,32,24,0,0,1,7,18,26,53,45,21
OTU97,1,2,10,20,8,3,144,435,258,0,0,0,5,6,10,5,10,8,4,10,15,107,67,57,1,3,10,10,3,16,3,0,0,29,6,6,3,0,1,19,9,6,14,12,35
OTU98,23,29,19,21,37,37,42,53,23,0,2,1,29,45,4,22,19,47,48,62,14,24,36,36,32,31,16,21,36,37,3,0,2,19,34,32,0,3,0,9,22,23,26,52,17
OTU99,17,24,29,67,41,44,23,21,31,5,1,3,23,17,11,30,13,39,43,35,52,43,37,52,9,14,24,43,32,46,3,2,2,71,52,55,0,2,0,40,24,37,80,67,70
OTU100,31,42,46,50,29,31,50,46,41,2,1,0,33,13,32,36,34,47,33,34,36,52,42,39,26,24,30,25,30,48,1,1,0,38,27,19,1,0,1,29,27,22,36,58,40
OTU101,13,35,22,72,28,25,65,69,116,0,2,1,21,48,39,26,19,32,26,41,68,127,67,46,21,22,28,31,30,19,0,2,2,61,16,23,0,3,2,13,11,7,17,22,45
OTU102,34,22,31,73,39,43,28,29,43,0,0,0,15,22,23,15,17,26,60,37,77,47,30,37,18,17,19,77,32,33,2,2,3,68,56,37,0,0,0,12,22,17,48,40,48
OTU103,52,42,19,14,15,18,14,39,7,0,3,1,17,41,12,16,27,71,21,25,6,15,27,23,32,45,13,40,19,29,3,0,2,13,28,35,0,0,0,13,21,28,38,24,12
OTU104,40,25,26,83,38,63,41,28,29,2,1,0,34,32,27,14,10,42,77,57,36,42,31,29,37,24,26,46,34,47,9,1,1,34,36,27,1,0,0,7,11,14,55,40,49
OTU105,37,37,35,33,24,27,25,34,41,2,6,0,28,28,30,18,10,30,38,32,32,60,49,45,29,20,32,54,31,39,2,0,0,67,48,40,0,0,0,35,24,35,38,69,77
OTU106,24,28,17,109,91,59,74,34,38,2,1,0,21,38,18,13,20,31,104,53,68,43,51,38,31,21,17,49,54,38,0,2,1,32,67,27,2,0,0,14,22,16,51,45,29
OTU107,13,23,22,67,61,44,42,29,35,1,1,3,27,31,24,13,14,31,73,52,48,50,61,40,20,21,13,43,35,47,4,3,0,60,108,66,3,0,0,16,38,21,73,76,79
OTU108,111,33,11,20,29,19,75,41,19,0,3,1,51,21,6,21,35,74,48,16,2,36,86,40,66,51,3,33,56,20,8,0,0,8,23,12,2,0,0,4,20,19,25,17,3
OTU109,24,10,8,34,53,46,31,36,13,1,1,0,34,35,11,9,16,28,81,42,21,21,69,44,22,14,6,24,42,20,1,1,0,24,47,42,2,2,0,14,14,21,46,44,17
OTU110,11,12,7,26,41,16,26,54,13,1,1,3,11,32,7,20,8,24,39,39,14,26,56,58,17,23,11,28,30,25,1,2,0,34,39,54,1,1,0,16,35,28,29,27,21
OTU111,25,32,26,29,28,24,11,25,13,3,1,1,6,17,9,32,19,58,27,32,29,30,18,29,26,41,33,30,27,41,1,5,3,41,32,20,1,0,0,48,45,58,47,48,41
OTU112,28,27,37,57,33,48,7,26,31,2,1,0,34,68,43,22,11,36,55,56,91,33,17,14,32,24,34,91,40,43,3,3,1,31,29,24,0,0,0,12,12,10,38,24,20
OTU113,22,35,32,104,57,53,32,29,51,0,4,0,14,48,25,30,11,37,73,72,85,49,33,37,13,28,21,83,31,36,2,3,0,71,33,30,0,2,2,22,19,11,49,30,67
OTU114,26,25,37,87,44,49,25,35,53,3,2,0,15,14,17,27,12,29,47,46,35,67,61,59,29,20,38,25,23,41,0,1,0,44,26,17,0,2,1,26,19,7,25,28,45
OTU115,48,57,57,44,42,25,27,25,36,4,3,1,24,40,35,38,44,82,31,20,34,46,56,25,20,39,28,46,47,34,2,2,2,62,37,41,0,0,0,25,19,19,37,24,25
OTU116,15,25,7,25,33,34,13,24,9,0,1,2,9,28,10,8,10,26,29,37,20,20,21,10,10,19,11,25,35,42,5,1,0,20,53,37,0,0,0,12,19,9,33,39,19
OTU117,67,36,14,26,49,26,55,55,5,1,1,0,26,31,2,13,30,50,61,38,3,39,50,28,57,44,9,34,52,35,3,1,0,19,20,22,0,0,0,18,16,19,51,20,3
OTU118,29,20,28,33,19,40,45,48,87,1,0,2,15,14,23,24,11,32,33,10,42,63,51,40,8,16,28,49,14,41,3,4,3,51,33,36,3,0,1,32,26,23,27,43,43
OTU119,7,13,20,62,24,17,39,63,54,5,0,0,5,17,8,10,4,17,47,26,43,84,42,68,17,16,17,54,18,20,0,1,0,95,47,63,0,0,0,18,19,15,39,20,25
OTU120,8,11,13,17,4,9,102,120,182,1,1,1,12,13,23,15,5,26,16,18,20,124,87,75,14,9,13,14,11,11,2,1,0,31,12,22,0,0,0,21,23,6,23,23,17
OTU121,25,23,23,57,37,25,20,26,34,4,2,1,22,28,23,18,10,35,50,36,43,32,30,30,18,22,34,58,41,30,3,4,1,49,39,53,0,0,2,19,17,16,57,37,52
OTU122,12,13,5,22,33,22,16,21,10,1,0,1,8,17,7,14,14,30,48,45,8,13,20,11,15,18,11,41,23,39,3,3,0,45,48,49,0,0,0,19,14,30,37,35,12
OTU123,47,23,26,58,42,49,34,24,31,6,0,2,42,42,19,25,16,33,69,44,50,37,14,22,22,32,33,67,38,42,0,0,0,45,27,34,0,1,0,19,10,6,45,21,43
OTU124,29,26,28,47,24,39,84,48,66,2,1,0,36,26,20,32,16,56,50,36,31,75,54,36,23,40,29,34,47,24,1,2,1,63,48,48,0,0,1,31,19,21,40,54,41
OTU125,25,32,9,27,49,40,9,20,5,2,2,1,13,32,8,16,11,41,36,39,18,18,29,21,28,27,7,22,36,30,1,2,0,5,20,15,0,0,0,1,22,13,40,30,11
OTU126,26,22,11,46,33,33,19,35,11,1,3,2,17,18,6,10,6,35,35,23,26,16,17,30,20,26,8,20,38,22,1,1,1,26,36,34,0,1,1,13,20,14,24,25,13
OTU127,26,11,34,64,37,20,38,28,37,1,2,1,10,13,18,28,11,46,23,39,47,31,26,32,19,11,31,43,18,29,2,0,0,39,23,28,1,3,1,40,27,24,51,46,49
OTU128,20,31,32,76,42,26,20,24,26,7,3,1,19,35,40,27,16,57,54,40,62,41,35,22,28,33,40,50,34,34,2,3,5,29,18,22,0,1,1,19,11,14,37,28,37
OTU129,0,0,0,55,28,11,298,316,444,0,1,0,0,2,0,0,0,0,0,6,7,1,0,10,2,1,0,1,0,4,0,0,0,1,1,6,0,0,0,1,1,0,0,0,0
OTU130,8,22,10,37,33,52,21,30,8,1,0,2,12,20,10,13,6,21,28,38,20,19,17,23,7,14,6,18,29,24,2,2,0,24,18,33,0,0,0,4,6,3,20,22,5
OTU131,27,13,22,31,17,18,56,28,60,2,0,3,32,18,24,23,17,30,52,33,39,65,28,42,21,26,29,33,28,28,4,2,3,85,44,77,1,0,0,31,19,22,79,57,58
OTU132,31,29,14,17,19,34,12,31,15,0,3,1,8,26,7,10,14,50,36,24,14,16,19,19,25,25,19,25,26,28,3,5,0,13,24,30,0,0,0,8,23,18,29,20,10
OTU133,12,11,6,20,31,34,23,25,10,0,2,2,27,14,10,4,13,35,26,30,15,17,28,25,16,15,7,15,26,38,4,1,1,12,25,31,0,0,0,7,19,11,32,25,11
OTU134,31,14,4,11,32,14,22,28,18,0,0,1,14,42,14,7,14,38,18,33,16,17,19,17,13,11,3,10,33,15,4,2,0,33,25,40,0,0,0,9,28,27,23,31,8
OTU135,16,15,15,20,37,20,8,16,18,1,1,1,16,19,12,11,11,19,34,26,37,18,37,33,14,33,14,29,53,28,0,4,1,43,75,58,0,0,0,29,47,21,38,56,50
OTU136,28,31,49,27,14,10,24,29,45,1,0,0,29,30,23,25,20,40,34,26,31,80,27,39,25,15,17,44,34,40,3,0,1,40,25,26,0,0,0,25,9,18,24,31,39
OTU137,18,14,22,91,47,58,35,35,28,1,2,2,14,28,33,10,14,31,40,54,61,38,29,18,18,19,23,29,18,51,5,1,1,41,12,25,0,0,1,11,15,11,57,34,52
